id_produto,id_usuario,resultado,dosagem_sugerida
111,313b8053-b1e3-4bab-a545-385f3db8b02a,nao_avaliado,1 tampa (30ml) para 5L de água
14,b749a3ce-c9c3-4ef2-a8c0-41648ebe76f3,nao_avaliado,"Aplicar puro, sem diluição"
77,8e012408-cc8e-4a41-9cf4-0f4ea7392895,nao_avaliado,"Aplicar puro, sem diluição"
93,bd2ea4f5-714f-4e69-8f24-d9e130d9a2cb,,2 colheres de sopa puro
68,a6541fb4-d23c-443f-a48a-9171790881f5,compativel,Diluir 1:10 em água morna
954675,019cf835-2752-4014-9702-dbbe868726f3,atencao,"Aplicar puro, sem diluição"
3,dc4d0f01-9d46-45ce-90c5-d63671832cb5,atencao,"Aplicar puro, sem diluição"
29,4eeefe5a-ffd9-42e1-86d9-ca07c0ae05dc,nao_avaliado,2 colheres de sopa puro
994764,4b89da12-9ff3-4809-a638-92175bf30757,atencao,"Aplicar puro, sem diluição"
109,0a449e01-5dd7-4954-8cfe-1abe3cba4d6c,compativel,
23,ba1ced63-35a5-423d-9821-50f47e76bf24,nao_avaliado,"Aplicar puro, sem diluição"
27,8bd92ff7-55d6-4cf4-92e5-07422dfdc448,atencao,Diluir 1:10 em água morna
23,074cd185-2cd6-469b-b012-568f9a438f33,compativel,Diluir 1:10 em água morna
80,607c9491-6fab-47bf-b078-2fa77b8f08da,atencao,Diluir 1:10 em água morna
99,84c88836-6652-426b-ba08-ba63feca2ab7,incompativel,
78,d15b7a88-344d-4188-97f1-7a3ce0805c25,nao_avaliado,"Aplicar puro, sem diluição"
produto-x,637a414d-5d54-46b2-82b9-e33d9cdd5457,compativel,1 colher de chá para 1L de água
14,78deedf1-b149-4660-8857-f4e8c5739ce0,ok,2 colheres de sopa puro
91,3393e487-97c8-4ad4-9459-aa9d74ab4b2d,compativel,2 colheres de sopa puro
43,ab633790-1db0-4a21-b5d0-979c16c09724,nao_avaliado,"Aplicar puro, sem diluição"
1,921168a0-67bb-4006-b138-df4070938167,incompativel,1 tampa (30ml) para 5L de água
